\;who;text;Новый вариант;;;;;;;;;;;;;;;;;;;;;
461;ID_13_m_y_ROUND_4_SUICIDE_TEXT;Помоги мне...;Слушай, может, ты мне поможешь? Один я не справлюсь...;;;;;;;;;;;;;;;;;;;;;
462;ID_13_ROUND_4_GG_ANSWER_RESULT = suicide;Конечно, только спускайся.;Без проблем. Для начала, тебе надо спуститься.;;;;;;;;;;;;;;;;;;;;;
463;ID_13_ROUND_4_GG_ANSWER_RESULT = next;Я тут только для этого и стою.;Конечно помогу, я за этим сюда и пришел. ;;;;;;;;;;;;;;;;;;;;;
464;ID_13_ROUND_4_GG_ANSWER_RESULT = next;Я помогаю.;Да, одному сложно. Вдвоем точно полегче будет. ;;;;;;;;;;;;;;;;;;;;;
465;ID_13_m_y_ROUND_4_SUICIDE_ON_DIE;Слезаю...упс...;Хорошо, я слезаю. Ой, черт! ;;;;;;;;;;;;;;;;;;;;;
466;ID_13_m_y_ROUND_5_SUICIDE_TEXT;РРРРРРРРР;Р-р-р.;;;;;;;;;;;;;;;;;;;;;
467;ID_13_ROUND_5_GG_ANSWER_RESULT = save;Тихо, тихо.;Йоу, успокойся, все хорошо.;;;;;;;;;;;;;;;;;;;;;
468;ID_13_ROUND_5_GG_ANSWER_RESULT = save;РРРРРРРРР;Давай-ка без рычаний. ;;;;;;;;;;;;;;;;;;;;;
469;ID_13_ROUND_5_GG_ANSWER_RESULT = suicide;Окей...;Ты чего рычишь? Ты что, собака?;;;;;;;;;;;;;;;;;;;;;
470;ID_13_m_y_ROUND_5_SUICIDE_ON_DIE;РРРРРРРРР;Ненавижу это все! ;;;;;;;;;;;;;;;;;;;;;
471;ID_13_m_y_ROUND_5SUICIDE_ON_GO_HOME;Я пойду наверное.;Пойду-ка я лучше домой и немного отвлекусь.;;;;;;;;;;;;;;;;;;;;;
472;ID_14_m_ROUND_1_SUICIDE_TEXT;Иш та бах, прими эту жертву и пошли благодать на наши земли!;Иш та бах, прими эту жертву! Пошли благодать на земли людские!;;;;;;;;;;;;;;;;;;;;;
473;ID_14_ROUND_1_GG_ANSWER_RESULT = suicide;Ты из постановки чтоли?;Что ты такое несешь?;;;;;;;;;;;;;;;;;;;;;
474;ID_14_ROUND_1_GG_ANSWER_RESULT = suicide;Кто?;С кем ты разговариваешь?;;;;;;;;;;;;;;;;;;;;;
475;ID_14_ROUND_1_GG_ANSWER_RESULT = suicide;Подожди!;Какую еще жервту?;;;;;;;;;;;;;;;;;;;;;
476;ID_14_m_ROUND_1_SUICIDE_ON_DIE;Сол на.;Сол хна! ;;;;;;;;;;;;;;;;;;;;;
477;ID_15_m_ROUND_1_SUICIDE_TEXT;Отвали.;Отвали. Оставь меня в покое. ;;;;;;;;;;;;;;;;;;;;;
478;ID_15_ROUND_1_GG_ANSWER_RESULT = next;Чо так грубо то?;Эй, зачем так грубо?;;;;;;;;;;;;;;;;;;;;;
479;ID_15_ROUND_1_GG_ANSWER_RESULT = next;Или что?;Я оставлю. Ты слезь только.;;;;;;;;;;;;;;;;;;;;;
480;ID_15_ROUND_1_GG_ANSWER_RESULT = next;Я хочу помочь.;Постой, я просто хочу помочь.;;;;;;;;;;;;;;;;;;;;;
481;ID_15_m_ROUND_2_SUICIDE_TEXT; Скройся, я не могу больше жить.;Свали отсюда, я просто хочу все закончить.;;;;;;;;;;;;;;;;;;;;;
482;ID_15_ROUND_2_GG_ANSWER_RESULT = next;Что привело к этому?;Что такого случилось в твоей жизни?;;;;;;;;;;;;;;;;;;;;;
483;ID_15_ROUND_2_GG_ANSWER_RESULT = next;У меня куча времени это обсудить.;Чувак, давай просто поговорим.;;;;;;;;;;;;;;;;;;;;;
484;ID_15_ROUND_2_GG_ANSWER_RESULT = next;Я только это и слышу.;Не поверишь, как много раз я это слышал.;;;;;;;;;;;;;;;;;;;;;
485;ID_15_m_ROUND_3_SUICIDE_TEXT;Мой парень...Мой парень бьет и насилует меня...;Мой парень... Он бьет меня. Он издевается и измывается надо мной. А вчера он меня изнасиловал. Это просто унизительно...;;;;;;;;;;;;;;;;;;;;;
486;ID_15_ROUND_3_GG_ANSWER_RESULT = suicide;Но вы же в отношениях, это нормально.;Слушай, у каждого в отношениях бывают проблемы.;;;;;;;;;;;;;;;;;;;;;
487;ID_15_ROUND_3_GG_ANSWER_RESULT = suicide;Может ты его провоцировал сам?;Я уверен, что и ты не ангел. Ведь так?;;;;;;;;;;;;;;;;;;;;;
488;ID_15_ROUND_3_GG_ANSWER_RESULT = next;Может я могу помочь?;Черт, это жестко. Давай подумаем, наверняка можно что-то сделать.;;;;;;;;;;;;;;;;;;;;;
489;ID_15_m_ROUND_3_SUICIDE_ON_DIE;Спасибо;Спасибо. Ты мне очень помог, козел.;;;;;;;;;;;;;;;;;;;;;
490;ID_15_m_ROUND_4_SUICIDE_TEXT;Я просто не могу так больше...;Я больше не могу это терпеть. Я не хочу возвращаться к нему.;;;;;;;;;;;;;;;;;;;;;
491;ID_15_ROUND_4_GG_ANSWER_RESULT = suicide;Смерть это не решение.;И что, ты думаешь, что смерть - это верное решение?;;;;;;;;;;;;;;;;;;;;;
492;ID_15_ROUND_4_GG_ANSWER_RESULT = next;Может позвоним в полицию?;Ты не пробовал обращаться в полицию?;;;;;;;;;;;;;;;;;;;;;
493;ID_15_ROUND_4_GG_ANSWER_RESULT = suicide;Мы найдем выход...;Не спеши, тут надо подумать. Выход всегда есть.;;;;;;;;;;;;;;;;;;;;;
494;ID_15_m_ROUND_4_SUICIDE_ON_DIE; У МЕНЯ НЕТ ДРУГОГО ВЫХОДА!;У меня больше нет другого выхода!;;;;;;;;;;;;;;;;;;;;;
495;ID_15_m_ROUND_5_SUICIDE_TEXT;ОН ПОЛИЦЕЙСКИЙ! У МЕНЯ НЕТ ДРУГОГО ВЫХОДА!;В том то все и дело. Он, мать его, полицейский!;;;;;;;;;;;;;;;;;;;;;
496;ID_15_ROUND_5_GG_ANSWER_RESULT = save;Я найду тебе безопасное место.;Но ты все равно можешь на него настучать. ;;;;;;;;;;;;;;;;;;;;;
497;ID_15_ROUND_5_GG_ANSWER_RESULT = save;Ты можешь его застрелить.;Тебе стоит его бросить. Так будет лучше.;;;;;;;;;;;;;;;;;;;;;
498;ID_15_ROUND_5_GG_ANSWER_RESULT = suicide;Ты драматизируешь.;Да брось, не может такого быть. Ты все придумал.;;;;;;;;;;;;;;;;;;;;;
499;ID_15_m_ROUND_5_SUICIDE_ON_DIE;У МЕНЯ НЕТ ДРУГОГО ВЫХОДА!;Ага, и это я тоже придумал...;;;;;;;;;;;;;;;;;;;;;
500;ID_15_m_ROUND_5SUICIDE_ON_GO_HOME;Да...Окей...;Возможно... Я так и сделаю.;;;;;;;;;;;;;;;;;;;;;
501;ID_33_m_y_ROUND_1_SUICIDE_TEXT;Что? Я ни в чем не виноват! Это не я!;Что? Это не я, клянусь! Я в этом не виноват!;;;;;;;;;;;;;;;;;;;;;
502;ID_33_ROUND_1_GG_ANSWER_RESULT = next;Что не ты?;В чем не виноват?;;;;;;;;;;;;;;;;;;;;;
503;ID_33_ROUND_1_GG_ANSWER_RESULT = suicide;Я все знаю.;Я так не думаю.;;;;;;;;;;;;;;;;;;;;;
504;ID_33_ROUND_1_GG_ANSWER_RESULT = next;Конечно, я разве спорю?;Я и не собирался тебя обвинять.;;;;;;;;;;;;;;;;;;;;;
505;ID_33_m_y_ROUND_1_SUICIDE_ON_DIE;АААААААААА;А-а-а!!!;;;;;;;;;;;;;;;;;;;;;
506;ID_33_m_y_ROUND_2_SUICIDE_TEXT;Я должен все рассказать, я должен все исправить...;Я должен что-то сделать, я должен все исправить...;;;;;;;;;;;;;;;;;;;;;
507;ID_33_ROUND_2_GG_ANSWER_RESULT = next;Я слушаю.;Поделись со мной.;;;;;;;;;;;;;;;;;;;;;
508;ID_33_ROUND_2_GG_ANSWER_RESULT = next;Да, ты прав, давай исправим.;Нет ничего непоправимого.;;;;;;;;;;;;;;;;;;;;;
509;ID_33_ROUND_2_GG_ANSWER_RESULT = suicide;Успокойся, что случилось?;Чего же ты такого натворил?;;;;;;;;;;;;;;;;;;;;;
510;ID_33_m_y_ROUND_2_SUICIDE_ON_DIE;НИЧЕГО НЕ СЛУЧИЛОСЬ!;НИЧЕГО!;;;;;;;;;;;;;;;;;;;;;
511;ID_33_m_y_ROUND_3_SUICIDE_TEXT;Я не уверен... Я сбил ребенка...Там было темно, все произошло так быстро...;Я не уверен... На дороге было так темно, и все произошло так быстро... Кажется, я сбил ребенка...;;;;;;;;;;;;;;;;;;;;;
512;ID_33_ROUND_3_GG_ANSWER_RESULT = next;Воу....;Ох, черт...;;;;;;;;;;;;;;;;;;;;;
513;ID_33_ROUND_3_GG_ANSWER_RESULT = suicide;Ты вызвал скорую!?;И ты не попытался ему помочь?!;;;;;;;;;;;;;;;;;;;;;
514;ID_33_ROUND_3_GG_ANSWER_RESULT = next;Может тебе показалось?;Ты уверен, что тебе не показалось?;;;;;;;;;;;;;;;;;;;;;
515;ID_33_m_y_ROUND_3_SUICIDE_ON_DIE;Я ДАЖЕ НЕ ВЫЗВАЛ СКОРКУЮ!! ВДРУГ ОН БЫЛ ЖИВ?!?!;О боже, я даже не подумал вызвать скорую!..;;;;;;;;;;;;;;;;;;;;;
516;ID_33_m_y_ROUND_4_SUICIDE_TEXT;Я уехал оттуда...Я не знаю, что там произошло.;Я просто запаниковал и уехал оттуда... Я даже не знаю, жив ли он.;;;;;;;;;;;;;;;;;;;;;
517;ID_33_ROUND_4_GG_ANSWER_RESULT = ;Беги из города.;Мой тебе совет: беги из города.;;;;;;;;;;;;;;;;;;;;;
518;ID_33_ROUND_4_GG_ANSWER_RESULT = ;Ты должен сдаться в полицию.;Ты должен пойти в полицию. ;;;;;;;;;;;;;;;;;;;;;
519;ID_33_ROUND_4_GG_ANSWER_RESULT = suicide;Ты теперь детоубиуйца.;Сомневаюсь, что это можно исправить...;;;;;;;;;;;;;;;;;;;;;
520;ID_33_m_y_ROUND_4_SUICIDE_ON_DIE;Я должен умереть...;Я не смогу с этим жить...;;;;;;;;;;;;;;;;;;;;;
521;ID_33_m_y_ROUND_4SUICIDE_ON_GO_HOME;Я так и поступлю. Спасибо...;Да, ты прав. Другого выхода нет... Спасибо.;;;;;;;;;;;;;;;;;;;;;
522;ID_16_f_y_ROUND_1_SUICIDE_TEXT;Хнык.;Хнык-хнык...;;;;;;;;;;;;;;;;;;;;;
523;ID_16_ROUND_1_GG_ANSWER_RESULT = next;Что случилось, девочка?;Что случилось, дорогая?;;;;;;;;;;;;;;;;;;;;;
524;ID_16_ROUND_1_GG_ANSWER_RESULT = next;Тщщщ тщщщ.;Тише, тише, успокойся.;;;;;;;;;;;;;;;;;;;;;
525;ID_16_ROUND_1_GG_ANSWER_RESULT = next;Тебя кто-то обидел?;Тебя кто-то обидел?;;;;;;;;;;;;;;;;;;;;;
527;ID_16_f_y_ROUND_2_SUICIDE_TEXT;Я вижу ее во сне...Но я не виновата...;Она приходит ко мне во сне каждую ночь... Но я не виновата...;;;;;;;;;;;;;;;;;;;;;
528;ID_16_ROUND_2_GG_ANSWER_RESULT = next;Кого, милая?;Кто, милая?;;;;;;;;;;;;;;;;;;;;;
529;ID_16_ROUND_2_GG_ANSWER_RESULT = next;Конечно не виновата, никто никогда не виноват.;Конечно, ты не виновата.;;;;;;;;;;;;;;;;;;;;;
530;ID_16_ROUND_2_GG_ANSWER_RESULT = next;Может ты хочешь выговориться?;Может, ты хочешь выговориться? Это помогает.;;;;;;;;;;;;;;;;;;;;;
531;ID_16_f_y_ROUND_3_SUICIDE_TEXT;Это тупо. Я тупая.;Это тупо. Я поступила очень тупо.;;;;;;;;;;;;;;;;;;;;;
532;ID_16_ROUND_3_GG_ANSWER_RESULT = next;Просто расскажи, что произошло.;Просто расскажи, что произошло.;;;;;;;;;;;;;;;;;;;;;
533;ID_16_ROUND_3_GG_ANSWER_RESULT = next;Хватит ломаться уже.;Понятнее не стало.;;;;;;;;;;;;;;;;;;;;;
534;ID_16_ROUND_3_GG_ANSWER_RESULT = next;Это не глупо, это важно.;Это не тупо, это важно. Поделись со мной.;;;;;;;;;;;;;;;;;;;;;
535;ID_16_f_y_ROUND_4_SUICIDE_TEXT;Короче, я... у меня была подруга...Я с ней общалась на сайте знакомств, типо мужиком. И мы типо мутили там, это было около года. А потом мне стало скучно и я ее бросила, а она самоубилась...;Короче, я... У меня была подруга. Я с ней общалась на сайте знакомств, типа от имени мужика. И мы мутили вот так около года. Потом мне стало скучно и я ее бросила. А она покончила с собой...;;;;;;;;;;;;;;;;;;;;;
536;ID_16_ROUND_4_GG_ANSWER_RESULT = suicide;Пиздец.;Вот это жестко.;;;;;;;;;;;;;;;;;;;;;
537;ID_16_ROUND_4_GG_ANSWER_RESULT = next;Ну ты правда не виновата.;По-моему, ты правда не виновата.;;;;;;;;;;;;;;;;;;;;;
538;ID_16_ROUND_4_GG_ANSWER_RESULT = next;Звучит безобидно.;Звучит довольно безобидно.;;;;;;;;;;;;;;;;;;;;;
539;ID_16_f_y_ROUND_4_SUICIDE_ON_DIE;(плачь);Какая же я тварь...;;;;;;;;;;;;;;;;;;;;;
540;ID_16_f_y_ROUND_5_SUICIDE_TEXT; Никто не знает, что это из-за меня.;Никто не знает, что она сделала это из-за меня.;;;;;;;;;;;;;;;;;;;;;
541;ID_16_ROUND_5_GG_ANSWER_RESULT = save;Ты хороший человек, спускайся.;В этом нет твоей вины. Она сама приняла решение.;;;;;;;;;;;;;;;;;;;;;
542;ID_16_ROUND_5_GG_ANSWER_RESULT = save;Дерьмо случается.;Это уже не так уж и важно.;;;;;;;;;;;;;;;;;;;;;
543;ID_16_ROUND_5_GG_ANSWER_RESULT = suicide;Просто расскажи об этом кому-нибудь;Ты должна рассказать ее родителям.;;;;;;;;;;;;;;;;;;;;;
544;ID_16_f_y_ROUND_5_SUICIDE_ON_DIE;Нет!;Ни за что!;;;;;;;;;;;;;;;;;;;;;
545;ID_16_f_y_ROUND_5SUICIDE_ON_GO_HOME;Я не виновата...;Да... Я не виновата...;;;;;;;;;;;;;;;;;;;;;
546;ID_47_f_o_hospital_ROUND_1_SUICIDE_TEXT;Только попробуй. Только...только попробуй мне помешать..кхх..;Нет! Я все решил... Только попробуй мне помешать!..;;;;;;;;;;;;;;;;;;;;;
547;ID_47_ROUND_1_GG_ANSWER_RESULT = suicide;Тебе бы в больницу...;Кажется, ты болен...;;;;;;;;;;;;;;;;;;;;;
548;ID_47_ROUND_1_GG_ANSWER_RESULT = next;Я не мешаю.;Я не буду тебе мешать, я просто хочу поговорить.;;;;;;;;;;;;;;;;;;;;;
549;ID_47_ROUND_1_GG_ANSWER_RESULT = next;Тебе нужна помощь?;Позволь мне помочь.;;;;;;;;;;;;;;;;;;;;;
550;ID_47_f_o_hospital_ROUND_1_SUICIDE_ON_DIE;Думаешь?;Серьезно?!;;;;;;;;;;;;;;;;;;;;;
551;ID_47_f_o_hospital_ROUND_2_SUICIDE_TEXT;Я сбежал чтобы ты тут стоял??? Сделай одолжение - уйди.;Я уж думал, что сбежал от этих разговоров! Сделай одолжение: уйди.;;;;;;;;;;;;;;;;;;;;;
552;ID_47_ROUND_2_GG_ANSWER_RESULT = next;А то что?;А иначе что?;;;;;;;;;;;;;;;;;;;;;
553;ID_47_ROUND_2_GG_ANSWER_RESULT = next;Ты сбежал?;Ты сбежал?;;;;;;;;;;;;;;;;;;;;;
554;ID_47_ROUND_2_GG_ANSWER_RESULT = next;Да ты еле стоишь!;Да ты еле стоишь, тебе нужен врач!;;;;;;;;;;;;;;;;;;;;;
555;ID_47_f_o_hospital_ROUND_3_SUICIDE_TEXT;Слушай сюда. Ктобы ты не был. Даже если я выживу после операции - я никогда не смогу ходить. Понял? Я не хочу такую жизнь.;Слушай, ты мне не поможешь. Я все решил. Даже если я выживу после операции, я никогда не смогу ходить. Я не хочу такой жизни. Понял?!;;;;;;;;;;;;;;;;;;;;;
556;ID_47_ROUND_3_GG_ANSWER_RESULT = suicide;Хотя бы будешь жить...;Но ты же можешь выжить!;;;;;;;;;;;;;;;;;;;;;
557;ID_47_ROUND_3_GG_ANSWER_RESULT = next;Я могу применить силу.;Если ты не отойдешь от края, мне придется применить силу.;;;;;;;;;;;;;;;;;;;;;
558;ID_47_ROUND_3_GG_ANSWER_RESULT = next;И это твои проблемы?;И ты не хочешь даже попробовать?;;;;;;;;;;;;;;;;;;;;;
559;ID_47_f_o_hospital_ROUND_3_SUICIDE_ON_DIE;О...Это так мудро...И глубоко!;Ох, какое счастье!;;;;;;;;;;;;;;;;;;;;;
560;ID_47_f_o_hospital_ROUND_4_SUICIDE_TEXT;Все говорят, что мне делать. Сидят рядом с грустным лицами. Почему я не могу сделать свой выбор? И хоть кто-нибудь проявил уважение???;Все вокруг будто лучше меня знают, что мне делать. Особенно родные. А сами сидят рядом с такими минами, будто на похоронах. Почему они не позволяют мне распоряжаться своей жизнью?!;;;;;;;;;;;;;;;;;;;;;
561;ID_47_ROUND_4_GG_ANSWER_RESULT = suicide;Ты просто расстроен...;Ты просто расстроен...;;;;;;;;;;;;;;;;;;;;;
562;ID_47_ROUND_4_GG_ANSWER_RESULT = next;Потому что им не все равно!;Потому что им не все равно!;;;;;;;;;;;;;;;;;;;;;
563;ID_47_ROUND_4_GG_ANSWER_RESULT = next;Тебе плевать на остальных!;Говоришь так, будто тебе на них плевать.;;;;;;;;;;;;;;;;;;;;;
564;ID_47_f_o_hospital_ROUND_4_SUICIDE_ON_DIE;Да ладно?;Да ладно?;;;;;;;;;;;;;;;;;;;;;
565;ID_47_f_o_hospital_ROUND_5_SUICIDE_TEXT;АААААРРГХ. НЕНАВИЖУ СВОЮ ЖИЗНЬ.;Это когда-нибудь закончится?! НЕНАВИЖУ СВОЮ ЖИЗНЬ.;;;;;;;;;;;;;;;;;;;;;
566;ID_47_ROUND_5_GG_ANSWER_RESULT = ;Тебе, что - 14?;Тебе что, 14?;;;;;;;;;;;;;;;;;;;;;
567;ID_47_ROUND_5_GG_ANSWER_RESULT = suicide;Это пройдет...;Повзрослеешь - поймешь.;;;;;;;;;;;;;;;;;;;;;
568;ID_47_ROUND_5_GG_ANSWER_RESULT = suicide;Жизнь тут не заканчивается.;Все у тебя наладится. И очень скоро.;;;;;;;;;;;;;;;;;;;;;
569;ID_47_f_o_hospital_ROUND_5_SUICIDE_ON_DIE;Прощай боль...;Сомневаюсь, что я доживу.;;;;;;;;;;;;;;;;;;;;;
570;ID_47_f_o_hospital_ROUND_5SUICIDE_ON_GO_HOME;Пошел ты! Надеюсь я умру по дороге обратно...;Пошел ты! Надеюсь, что я умру на обратном пути...;;;;;;;;;;;;;;;;;;;;;
571;ID_3_m_y_duck_ROUND_1_SUICIDE_TEXT;(молчание);(молчание);;;;;;;;;;;;;;;;;;;;;
572;ID_3_ROUND_1_GG_ANSWER_RESULT = next;Ты меня слышишь?;Ты меня слышишь?;;;;;;;;;;;;;;;;;;;;;
573;ID_3_ROUND_1_GG_ANSWER_RESULT = suicide;(подойти поближе);(подойти поближе);;;;;;;;;;;;;;;;;;;;;
574;ID_3_ROUND_1_GG_ANSWER_RESULT = next;Просто давай поговорим?;Давай просто поговорим.;;;;;;;;;;;;;;;;;;;;;
575;ID_3_m_y_duck_ROUND_1_SUICIDE_ON_DIE;...;...;;;;;;;;;;;;;;;;;;;;;
576;ID_3_m_y_duck_ROUND_2_SUICIDE_TEXT;Я их всех убил;Я их всех убил.;;;;;;;;;;;;;;;;;;;;;
577;ID_3_ROUND_2_GG_ANSWER_RESULT = next;(промолчать);(промолчать);;;;;;;;;;;;;;;;;;;;;
578;ID_3_ROUND_2_GG_ANSWER_RESULT = next;Кого ты убил, эээ?;Кого?;;;;;;;;;;;;;;;;;;;;;
579;ID_3_ROUND_2_GG_ANSWER_RESULT = suicide;Не шути так!;Это что, розыгрыш?;;;;;;;;;;;;;;;;;;;;;
580;ID_3_m_y_duck_ROUND_2_SUICIDE_ON_DIE;УБИИИИИЛ;ОНИ МЕРТВЫ!;;;;;;;;;;;;;;;;;;;;;
581;ID_3_m_y_duck_ROUND_3_SUICIDE_TEXT;Я ИХ ВСЕХ УБИЛ. ВСЕХ. ПОНИМАЕШЬ. ВСЕХ.;Я ИХ УБИЛ. ВСЕХ. ПОНИМАЕШЬ? ОНИ ВСЕ МЕРТВЫ.;;;;;;;;;;;;;;;;;;;;;
582;ID_3_ROUND_3_GG_ANSWER_RESULT = next;Ты наверное просто под чем-то да?;Подожди, ты что-то принимал? Ты вообще в своем уме?;;;;;;;;;;;;;;;;;;;;;
583;ID_3_ROUND_3_GG_ANSWER_RESULT = suicide;(вызвать полицию);(вызвать полицию);;;;;;;;;;;;;;;;;;;;;
584;ID_3_ROUND_3_GG_ANSWER_RESULT = next;Тише тише... Просто расскажи мне все, что случилось.;Тише, тише... Просто расскажи мне, что случилось.;;;;;;;;;;;;;;;;;;;;;
585;ID_3_m_y_duck_ROUND_3_SUICIDE_ON_DIE;АААААААААА;АААААААААА;;;;;;;;;;;;;;;;;;;;;
586;ID_3_m_y_duck_ROUND_4_SUICIDE_TEXT;УТОЧКИ Я УБИЛ ВСЕХ УТОЧЕК!;УТОЧКИ! Я УБИЛ ВСЕХ УТОЧЕК!;;;;;;;;;;;;;;;;;;;;;
587;ID_3_ROUND_4_GG_ANSWER_RESULT = next;Что ты несешь!?;Да что ты такое несешь?! Каких уточек?;;;;;;;;;;;;;;;;;;;;;
588;ID_3_ROUND_4_GG_ANSWER_RESULT = next;Хочешь это обсудить?;Хочешь это обсудить?;;;;;;;;;;;;;;;;;;;;;
589;ID_3_ROUND_4_GG_ANSWER_RESULT = suicide;Все еще можно наладить, просто не двигайся.;Что бы ни произошло, все еще можно исправить, только не делай резких движений.;;;;;;;;;;;;;;;;;;;;;
590;ID_3_m_y_duck_ROUND_4_SUICIDE_ON_DIE;УБИИИИИИЛ;ОНИ МЕРТВЫ!;;;;;;;;;;;;;;;;;;;;;
591;ID_3_m_y_duck_ROUND_5_SUICIDE_TEXT;(произносит что-то невнятное);(произносит что-то невнятное);;;;;;;;;;;;;;;;;;;;;
592;ID_3_ROUND_5_GG_ANSWER_RESULT = save;Давай, друг, просто иди домой и отдохни.;Послушай, почему бы тебе не отправиться домой, чтобы отдохнуть и прийти в себя?;;;;;;;;;;;;;;;;;;;;;
593;ID_3_ROUND_5_GG_ANSWER_RESULT = save;Я куплю тебе новых, только слезь.;Я куплю тебе новых уточек, только не прыгай.;;;;;;;;;;;;;;;;;;;;;
594;ID_3_ROUND_5_GG_ANSWER_RESULT = suicide;Пойдем, посмотришь, с ними все в порядке;Пойдем, посмотрим на твоих уточек, и ты убедишься, что с ними все в порядке.;;;;;;;;;;;;;;;;;;;;;
595;ID_3_m_y_duck_ROUND_5_SUICIDE_ON_DIE;ГДЕ!?;КУДА?!;;;;;;;;;;;;;;;;;;;;;
596;ID_3_m_y_duck_ROUND_5SUICIDE_ON_GO_HOME;О - ТАМ УТОЧКА.;О, там уточка! Видишь?!.;;;;;;;;;;;;;;;;;;;;;
597;ID_17_f_a_ROUND_1_SUICIDE_TEXT;Не смейся надо мной.;Говори, что хочешь, только не вздумай надо мной смеяться.;;;;;;;;;;;;;;;;;;;;;
598;ID_17_ROUND_1_GG_ANSWER_RESULT = next;Я и не смеялся.;Я и не собирался.;;;;;;;;;;;;;;;;;;;;;
599;ID_17_ROUND_1_GG_ANSWER_RESULT = next;Ты мне?;С чего бы мне смеяться?;;;;;;;;;;;;;;;;;;;;;
600;ID_17_ROUND_1_GG_ANSWER_RESULT = next;Л О Л.;Кто над тобой смеется?;;;;;;;;;;;;;;;;;;;;;
601;ID_17_f_a_ROUND_2_SUICIDE_TEXT;Почему все смеются, хватит хватит хватит.;Они все смеются, когда это наконец закончится?!;;;;;;;;;;;;;;;;;;;;;
602;ID_17_ROUND_2_GG_ANSWER_RESULT = next;Никто не смеется, успокойся!;Да никто не смеется, успокойся!;;;;;;;;;;;;;;;;;;;;;
603;ID_17_ROUND_2_GG_ANSWER_RESULT = next;Кто тебя обижает?;Не понимаю, с чего бы кому-либо над тобой смеяться.;;;;;;;;;;;;;;;;;;;;;
604;ID_17_ROUND_2_GG_ANSWER_RESULT = next;Я молчу.;Я все еще не смеюсь.;;;;;;;;;;;;;;;;;;;;;
605;ID_17_f_a_ROUND_3_SUICIDE_TEXT;Сколько мне еще нужно выблевать, чтобы стать красивой?;Мне сказали, что можно пить только воду и блевать... Но я не вижу изменений, я не стала даже чуточку красивее!;;;;;;;;;;;;;;;;;;;;;
606;ID_17_ROUND_3_GG_ANSWER_RESULT = next;Ты красивая!;Вот оно что... Эй, ты и так прекрасна!;;;;;;;;;;;;;;;;;;;;;
607;ID_17_ROUND_3_GG_ANSWER_RESULT = next;На вкус и цвет.;Понял. Слушай, ты же не купюра в сто баксов, чтобы нравиться всем!;;;;;;;;;;;;;;;;;;;;;
608;ID_17_ROUND_3_GG_ANSWER_RESULT = next;Красота субьективна.;По-моему, красота субъективна.;;;;;;;;;;;;;;;;;;;;;
609;ID_17_f_a_ROUND_4_SUICIDE_TEXT;Я НЕ КРАСИВАЯ И ВСЕ ЭТО ВИДЯТ. ВСЕ СМЕЮТСЯ;Я же не слепая, я ВИЖУ, что я некрасивая! И знаю, что все это видят... И смеются надо мной.;;;;;;;;;;;;;;;;;;;;;
610;ID_17_ROUND_4_GG_ANSWER_RESULT = suicide;Ну может не 10/10 но и не плохо.;Ну, может, ты и не тянешь на 10/10, но могло быть и хуже!;;;;;;;;;;;;;;;;;;;;;
611;ID_17_ROUND_4_GG_ANSWER_RESULT = next;Ты мне нравишься.;Я тоже вижу тебя. И ты мне нравишься.;;;;;;;;;;;;;;;;;;;;;
612;ID_17_ROUND_4_GG_ANSWER_RESULT = next;Эй, ты красивая.;Эй, да ты же красотка!;;;;;;;;;;;;;;;;;;;;;
613;ID_17_f_a_ROUND_4_SUICIDE_ON_DIE;АААААААА;ТЫ ТАКОЙ ЖЕ, КАК ОНИ!;;;;;;;;;;;;;;;;;;;;;
614;ID_17_f_a_ROUND_5_SUICIDE_TEXT;У меня нет сил.;Я так устала. У меня нет сил.;;;;;;;;;;;;;;;;;;;;;
615;ID_17_ROUND_5_GG_ANSWER_RESULT = save;Иди отдохни.;Тебе бы хоть поспать...;;;;;;;;;;;;;;;;;;;;;
616;ID_17_ROUND_5_GG_ANSWER_RESULT = save;Иди поешь.;Знаешь, что тебе нужно? Любимый сериал и пицца. Иди домой и закажи себе двойную пепперони!;;;;;;;;;;;;;;;;;;;;;
617;ID_17_ROUND_5_GG_ANSWER_RESULT = suicide;Тебе стоит обратиться к доктору...;Я не спец в этих делах, но, по-моему, тебе стоит обратиться к врачу...;;;;;;;;;;;;;;;;;;;;;
618;ID_17_f_a_ROUND_5_SUICIDE_ON_DIE;Я ЧТО БОЛЬНАЯ?????;ПО-ТВОЕМУ Я БОЛЬНАЯ?!!;;;;;;;;;;;;;;;;;;;;;
619;ID_17_f_a_ROUND_5SUICIDE_ON_GO_HOME;Я так и поступлю...;Да, отличная мысль... Спасибо.;;;;;;;;;;;;;;;;;;;;;
620;ID_18_m_y_ROUND_1_SUICIDE_TEXT;Мой герой мертв.;Не уверен. Мой герой мертв.;;;;;;;;;;;;;;;;;;;;;
621;ID_18_ROUND_1_GG_ANSWER_RESULT = next;Что за герой?;Кто твой герой?;;;;;;;;;;;;;;;;;;;;;
622;ID_18_ROUND_1_GG_ANSWER_RESULT = next;И что?;И что?;;;;;;;;;;;;;;;;;;;;;
623;ID_18_ROUND_1_GG_ANSWER_RESULT = next;Как так???;Как это случилось?!;;;;;;;;;;;;;;;;;;;;;
